Item Name,total_orders,total_price,avg_price,min_price,total_quantity_sold,total_revenue,avg_revenue
Aloo Chaat,4,19.8,4.95,4.95,4,19.8,4.95
Aloo Gobi,10,59.5,5.95,5.95,10,59.5,5.95
Aloo Methi,2,11.9,5.95,5.95,2,11.9,5.95
Baingan Hari Mirch,3,17.85,5.95,5.95,4,23.8,7.933333333333334
Bengal Fish Biryani,1,12.95,12.95,12.95,1,12.95,12.95
Bengal King Prawn,1,12.95,12.95,12.95,1,12.95,12.95
Bengal Salad,1,3.95,3.95,3.95,1,3.95,3.95
Bhindi Bhajee,1,5.95,5.95,5.95,1,5.95,5.95
Bhuna - Chicken,4,35.8,8.95,8.95,4,35.8,8.95
Bhuna - Chicken Tikka,4,35.8,8.95,8.95,5,44.75,11.1875
Bhuna - King Prawn,1,12.95,12.95,12.95,1,12.95,12.95
Bhuna - Lamb,6,53.699999999999996,8.95,8.95,6,53.699999999999996,8.95
Bhuna - Prawn,2,19.9,9.95,9.95,2,19.9,9.95
Bombay Aloo,16,95.2,5.95,5.95,16,95.2,5.95
Bottle Coke,1,2.95,2.95,2.95,1,2.95,2.95
Brinjal Bhajee,2,11.9,5.95,5.95,2,11.9,5.95
Butter Chicken,16,159.2,9.95,9.95,17,169.14999999999998,10.571874999999999
COBRA ( LARGE ),3,17.85,5.95,5.95,5,29.75,9.916666666666666
Cauliflower Bhajee,4,23.8,5.95,5.95,4,23.8,5.95
Chana Masala,9,53.550000000000004,5.95,5.95,9,53.550000000000004,5.95
Chapati,19,37.05,1.95,1.95,32,62.4,3.2842105263157895
Chicken Achar,1,9.95,9.95,9.95,1,9.95,9.95
Chicken Balti,7,69.64999999999999,9.95,9.95,7,69.64999999999999,9.95
Chicken Biryani,10,99.5,9.95,9.95,11,109.44999999999999,10.944999999999999
Chicken Chaat,5,24.75,4.95,4.95,5,24.75,4.95
Chicken Chilli Garlic,5,49.75,9.95,9.95,5,49.75,9.95
Chicken Karahi,1,8.95,8.95,8.95,1,8.95,8.95
Chicken Mysore,3,29.849999999999998,9.95,9.95,3,29.849999999999998,9.95
Chicken Pakora,3,17.85,5.95,5.95,3,17.85,5.95
Chicken Roshni,2,19.9,9.95,9.95,2,19.9,9.95
Chicken Shashlick,4,39.8,9.95,9.95,4,39.8,9.95
Chicken Shashlick Curry,2,25.9,12.95,12.95,2,25.9,12.95
Chicken Tikka,3,14.850000000000001,4.95,4.95,4,19.8,6.6000000000000005
Chicken Tikka (Main),11,98.44999999999999,8.95,8.95,13,116.35,10.577272727272726
Chicken Tikka Balti,3,32.849999999999994,10.949999999999998,10.95,3,32.849999999999994,10.949999999999998
Chicken Tikka Biryani,9,98.55,10.95,10.95,9,98.55,10.95
Chicken Tikka Jalfrezi,4,35.8,8.95,8.95,4,35.8,8.95
Chicken Tikka Karahi,2,19.9,9.95,9.95,2,19.9,9.95
Chicken Tikka Masala,26,232.7,8.95,8.95,29,259.54999999999995,9.982692307692306
Chicken Tikka Pasanda,1,8.95,8.95,8.95,1,8.95,8.95
Chicken Tikka Sizzler,2,19.9,9.95,9.95,2,19.9,9.95
Curry - Chicken,9,71.55,7.949999999999999,7.95,12,95.4,10.600000000000001
Curry - Lamb,5,39.75,7.95,7.95,5,39.75,7.95
Curry - Prawn,2,17.9,8.95,8.95,3,26.849999999999998,13.424999999999999
Curry Sauce,2,7.9,3.95,3.95,2,7.9,3.95
Dhansak - Chicken,4,35.8,8.95,8.95,4,35.8,8.95
Dhansak - Chicken Tikka,1,8.95,8.95,8.95,1,8.95,8.95
Dhansak - King Prawn,1,12.95,12.95,12.95,1,12.95,12.95
Dhansak - Lamb,1,8.95,8.95,8.95,1,8.95,8.95
Dupiaza - Chicken,6,53.699999999999996,8.95,8.95,7,62.64999999999999,10.441666666666665
Dupiaza - Lamb,1,8.95,8.95,8.95,1,8.95,8.95
Dupiaza - Prawn,1,9.95,9.95,9.95,1,9.95,9.95
Egg Rice,5,19.75,3.95,3.95,5,19.75,3.95
French Fries,13,51.35,3.95,3.95,14,55.300000000000004,4.253846153846154
Garlic Naan,47,138.65,2.95,2.95,58,171.10000000000002,3.640425531914894
Garlic Rice,5,19.75,3.95,3.95,5,19.75,3.95
Green Salad,3,8.850000000000001,2.9500000000000006,2.95,3,8.850000000000001,2.9500000000000006
Hazary Lamb,1,12.95,12.95,12.95,1,12.95,12.95
Hazary Lamb Chilli Garlic,2,25.9,12.95,12.95,2,25.9,12.95
House white wine 75cl,3,53.849999999999994,17.95,17.95,3,53.849999999999994,17.95
Keema Naan,9,26.55,2.95,2.95,10,29.5,3.2777777777777777
Keema Rice,4,15.8,3.95,3.95,4,15.8,3.95
King Prawn Butterfly,3,17.85,5.95,5.95,3,17.85,5.95
King Prawn Hari Mirch,1,12.95,12.95,12.95,1,12.95,12.95
King Prawn Karahi,2,25.9,12.95,12.95,2,25.9,12.95
King Prawn Puree,2,11.9,5.95,5.95,2,11.9,5.95
King Prawn Shaslick,2,25.9,12.95,12.95,2,25.9,12.95
Korma - Chicken,24,214.79999999999998,8.95,8.95,26,232.7,9.695833333333333
Korma - Chicken Tikka,3,26.849999999999998,8.95,8.95,3,26.849999999999998,8.95
Korma - Lamb,2,17.9,8.95,8.95,2,17.9,8.95
Korma - Prawn,3,29.849999999999998,9.95,9.95,4,39.8,13.266666666666666
Korma Sauce,9,35.550000000000004,3.9500000000000006,3.95,9,35.550000000000004,3.9500000000000006
Kulcha Naan,3,8.850000000000001,2.9500000000000006,2.95,3,8.850000000000001,2.9500000000000006
Lal Mirch Chicken,1,9.95,9.95,9.95,1,9.95,9.95
Lamb Achar,1,9.95,9.95,9.95,1,9.95,9.95
Lamb Balti,5,49.75,9.95,9.95,5,49.75,9.95
Lamb Biryani,4,39.8,9.95,9.95,4,39.8,9.95
Lamb Chilli Garlic,1,9.95,9.95,9.95,1,9.95,9.95
Lamb Hari Mirch,2,19.9,9.95,9.95,2,19.9,9.95
Lamb Haryali,1,9.95,9.95,9.95,1,9.95,9.95
Lamb Karahi,3,26.849999999999998,8.95,8.95,3,26.849999999999998,8.95
Lamb Mysore,3,29.849999999999998,9.95,9.95,3,29.849999999999998,9.95
Lamb Roshni,1,9.95,9.95,9.95,1,9.95,9.95
Lamb Shashlick,1,9.95,9.95,9.95,1,9.95,9.95
Lamb Shashlick Curry,1,12.95,12.95,12.95,1,12.95,12.95
Lamb Sylhet,1,9.95,9.95,9.95,1,9.95,9.95
Lamb Tikka,3,14.850000000000001,4.95,4.95,3,14.850000000000001,4.95
Lamb Tikka (Main),3,26.849999999999998,8.95,8.95,3,26.849999999999998,8.95
Lamb Tikka Balti,3,32.849999999999994,10.949999999999998,10.95,3,32.849999999999994,10.949999999999998
Lamb Tikka Biryani,2,21.9,10.95,10.95,3,32.849999999999994,16.424999999999997
Lamb Tikka Chilli Masala,1,8.95,8.95,8.95,1,8.95,8.95
Lamb Tikka Jalfrezi,2,17.9,8.95,8.95,2,17.9,8.95
Lamb Tikka Karahi,2,19.9,9.95,9.95,2,19.9,9.95
Lamb Tikka Masala,2,17.9,8.95,8.95,3,26.849999999999998,13.424999999999999
Lamb Tikka Pasanda,1,8.95,8.95,8.95,1,8.95,8.95
Lemon Rice,2,7.9,3.95,3.95,2,7.9,3.95
Lemonade 1.5 ltr,1,2.95,2.95,2.95,1,2.95,2.95
Lime Pickle,4,2.0,0.5,0.5,4,2.0,0.5
Madras - Chicken,12,95.4,7.95,7.95,13,103.35000000000001,8.6125
Madras - Chicken Tikka,3,23.85,7.95,7.95,3,23.85,7.95
Madras - King Prawn,1,11.95,11.95,11.95,1,11.95,11.95
Madras - Lamb,3,23.85,7.95,7.95,3,23.85,7.95
Madras Sauce,4,15.8,3.95,3.95,4,15.8,3.95
Mango Chutney,29,14.5,0.5,0.5,37,18.5,0.6379310344827587
Masala Sauce,1,3.95,3.95,3.95,1,3.95,3.95
Meat Samosa,10,39.5,3.95,3.95,14,55.300000000000004,5.53
Methi - Chicken,1,8.95,8.95,8.95,1,8.95,8.95
Mint Sauce,18,9.0,0.5,0.5,24,12.0,0.6666666666666666
Mixed Starter,7,41.65,5.95,5.95,7,41.65,5.95
Mixed Vegetable Curry,3,17.85,5.95,5.95,3,17.85,5.95
Mushroom - Lamb,1,8.95,8.95,8.95,1,8.95,8.95
Mushroom Bhajee,4,23.8,5.95,5.95,4,23.8,5.95
Mushroom Rice,17,67.15,3.95,3.95,18,71.10000000000001,4.182352941176471
Onion Bhajee,30,118.5,3.95,3.95,36,142.20000000000002,4.74
Onion Chutney,10,5.0,0.5,0.5,14,7.0,0.7
Onion Naan,3,8.850000000000001,2.9500000000000006,2.95,3,8.850000000000001,2.9500000000000006
Onion Rice,1,3.95,3.95,3.95,1,3.95,3.95
Paneer Shaslick,4,39.8,9.95,9.95,4,39.8,9.95
Paneer Tikka Balti,2,21.9,10.95,10.95,2,21.9,10.95
Paneer Tikka Karahi,3,29.849999999999998,9.95,9.95,3,29.849999999999998,9.95
Paneer Tikka Masala,3,26.849999999999998,8.95,8.95,3,26.849999999999998,8.95
Paneer Tikka Sizzler,1,9.95,9.95,9.95,1,9.95,9.95
Paratha,5,14.75,2.95,2.95,7,20.650000000000002,4.130000000000001
Pathia - Chicken,3,26.849999999999998,8.95,8.95,3,26.849999999999998,8.95
Pathia - Chicken Tikka,1,8.95,8.95,8.95,1,8.95,8.95
Pathia - Lamb,1,8.95,8.95,8.95,1,8.95,8.95
Persian Chicken Biryani,1,10.95,10.95,10.95,1,10.95,10.95
Peshwari Naan,13,38.35,2.95,2.95,13,38.35,2.95
Pilau Rice,57,168.15,2.95,2.95,67,197.65,3.467543859649123
Plain Naan,54,140.4,2.6,2.6,66,171.6,3.1777777777777776
Plain Papadum,53,42.400000000000006,0.8000000000000002,0.8,149,119.2,2.249056603773585
Plain Rice,31,91.45,2.95,2.95,39,115.05000000000001,3.7112903225806457
Prawn Biryani,1,10.95,10.95,10.95,1,10.95,10.95
Prawn Karahi,1,9.95,9.95,9.95,1,9.95,9.95
Prawn Puree,5,24.75,4.95,4.95,6,29.700000000000003,5.94
Puree,2,3.9,1.95,1.95,2,3.9,1.95
Raitha,6,17.700000000000003,2.9500000000000006,2.95,6,17.700000000000003,2.9500000000000006
Red Sauce,7,3.5,0.5,0.5,8,4.0,0.5714285714285714
Rogon - King Prawn,1,12.95,12.95,12.95,1,12.95,12.95
Rogon - Lamb,2,17.9,8.95,8.95,2,17.9,8.95
Royal Paneer,8,47.6,5.95,5.95,8,47.6,5.95
Saag - Chicken,6,53.699999999999996,8.95,8.95,6,53.699999999999996,8.95
Saag - Lamb,2,17.9,8.95,8.95,2,17.9,8.95
Saag Aloo,17,101.15,5.95,5.95,18,107.10000000000001,6.300000000000001
Saag Bhajee,3,17.85,5.95,5.95,3,17.85,5.95
Saag Dall,1,5.95,5.95,5.95,1,5.95,5.95
Saag Paneer,6,35.7,5.95,5.95,6,35.7,5.95
Saag Rice,6,23.700000000000003,3.9500000000000006,3.95,6,23.700000000000003,3.9500000000000006
Sheek Kebab,8,39.6,4.95,4.95,8,39.6,4.95
Sheek Kebab (Main),2,17.9,8.95,8.95,2,17.9,8.95
Special Fried Rice,12,47.400000000000006,3.9500000000000006,3.95,13,51.35,4.279166666666667
Spicy Papadum,3,2.4000000000000004,0.8000000000000002,0.8,3,2.4000000000000004,0.8000000000000002
Tandoori Chicken (Main),3,26.849999999999998,8.95,8.95,4,35.8,11.933333333333332
Tandoori Fish,2,11.9,5.95,5.95,2,11.9,5.95
Tandoori Fish (Main),2,23.9,11.95,11.95,2,23.9,11.95
Tandoori King Prawn Garlic,1,12.95,12.95,12.95,1,12.95,12.95
Tandoori King Prawn Masala,3,38.849999999999994,12.949999999999998,12.95,3,38.849999999999994,12.949999999999998
Tandoori Mixed Grill,8,95.6,11.95,11.95,8,95.6,11.95
Tandoori Roti,6,15.600000000000001,2.6,2.6,8,20.8,3.466666666666667
Tarka Dall,10,59.5,5.95,5.95,10,59.5,5.95
Vegetable Balti,3,29.849999999999998,9.95,9.95,3,29.849999999999998,9.95
Vegetable Biryani,3,29.849999999999998,9.95,9.95,3,29.849999999999998,9.95
Vegetable Mysore,2,11.9,5.95,5.95,2,11.9,5.95
Vegetable Rice,7,27.650000000000002,3.95,3.95,8,31.6,4.514285714285714
Vegetable Roll,2,9.9,4.95,4.95,2,9.9,4.95
Vindaloo - Chicken,1,7.95,7.95,7.95,1,7.95,7.95
Vindaloo - Chicken Tikka,1,7.95,7.95,7.95,1,7.95,7.95
Vindaloo - King Prawn,2,23.9,11.95,11.95,2,23.9,11.95
Vindaloo Sauce,1,3.95,3.95,3.95,1,3.95,3.95
